Purchase Order Number,Vendor Name,Department,Address,Shipment ID,Load Number,Assigned SCAC,Executing SCAC,PRO,Trip ID,Truck Load Optimization Reference ID,Status,Destination,Pickup Date,In Yard Goal Date,Final Routing Expected By,Cartons,Weight,Cube,Pallet Spaces,Commodity,bol,Appointment Number,Created By,Review By Date,Last Updated By
10001832473,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14462732,,,,,,,Content Review Required,3802,,2026-05-04,,194,549,40,0.3,,,,SYSTEM,2026-04-15 23:59:00,
10001832473,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14462731,,,,,,,Content Review Required,3868,,2026-05-01,,159,438,32,0.24,,,,SYSTEM,2026-04-15 23:59:00,
10001832473,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14462730,,,,,,,Content Review Required,3865,,2026-05-01,,300,854,60,0.45,,,,SYSTEM,2026-04-15 23:59:00,
10001832473,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14462729,,,,,,,Content Review Required,3857,,2026-05-05,,223,610,44,0.33,,,,SYSTEM,2026-04-15 23:59:00,
10001832473,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14462728,,,,,,,Content Review Required,3856,,2026-04-26,,451,1232,89,0.67,,,,SYSTEM,2026-04-15 23:59:00,
10001832473,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14462727,,,,,,,Content Review Required,3811,,2026-05-02,,533,1504,106,0.79,,,,SYSTEM,2026-04-15 23:59:00,
10001832473,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14462726,,,,,,,Content Review Required,3806,,2026-04-26,,296,842,60,0.45,,,,SYSTEM,2026-04-15 23:59:00,
10001832473,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14462725,,,,,,,Content Review Required,3808,,2026-05-02,,578,1638,115,0.86,,,,SYSTEM,2026-04-15 23:59:00,
10001832473,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14462724,,,,,,,Content Review Required,3804,,2026-05-02,,439,1222,86,0.65,,,,SYSTEM,2026-04-15 23:59:00,
10001832473,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14462723,,,,,,,Content Review Required,3803,,2026-04-30,,872,2448,172,1.28,,,,SYSTEM,2026-04-15 23:59:00,
10001832473,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14462722,,,,,,,Content Review Required,3801,,2026-04-28,,128,364,26,0.2,,,,SYSTEM,2026-04-15 23:59:00,
10001832473,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14462721,,,,,,,Content Review Required,593,,2026-04-25,,217,599,46,0.34,,,,SYSTEM,2026-04-15 23:59:00,
10001832473,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14462720,,,,,,,Content Review Required,594,,2026-05-03,,422,1186,84,0.63,,,,SYSTEM,2026-04-15 23:59:00,
10001832473,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14462719,,,,,,,Content Review Required,590,,2026-04-30,,920,2588,183,1.37,,,,SYSTEM,2026-04-15 23:59:00,
10001832473,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14462718,,,,,,,Content Review Required,589,,2026-05-05,,558,1516,110,0.82,,,,SYSTEM,2026-04-15 23:59:00,
